name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Converge,1460.8529500561162,77,1455.2266603509315,Rain or Shine,1479.7637989455293,79,1485.390088650714
Magnolia,1623.195624588437,72,1615.213810872987,TNT,1672.6995928780907,78,1680.6814065935407
Terrafirma,1332.9032656381592,102,1329.839207840542,NLEX,1521.6054631170687,105,1524.6695209146858
Phoenix,1445.8309824529797,100,1439.3732990134222,San Miguel,1580.6358844936344,108,1587.093567933192
TNT,1680.6814065935407,78,1651.6889509661517,Blackwater,1262.5322899766816,85,1291.5247456040706
Rain or Shine,1485.390088650714,81,1469.8987789577732,NorthPort,1482.2854894822126,94,1497.7767991751534
San Miguel,1587.093567933192,100,1595.9814074204128,NLEX,1524.6695209146858,92,1515.781681427465
Converge,1455.2266603509315,89,1472.4773924302579,Magnolia,1615.213810872987,82,1597.9630787936608
NorthPort,1497.7767991751534,100,1505.5870526832414,Terrafirma,1329.839207840542,86,1322.028954332454
Meralco,1586.513307419918,109,1593.903593381206,Phoenix,1439.3732990134222,98,1431.983013052134
TNT,1651.6889509661517,86,1654.9010415397493,Converge,1472.4773924302579,83,1469.2653018566602
Blackwater,1291.5247456040706,82,1289.4044477587809,Ginebra,1551.1813509511755,85,1553.3016487964653
Magnolia,1597.9630787936608,80,1602.7799219312128,NorthPort,1505.5870526832414,77,1500.7702095456893
Ginebra,1553.3016487964653,90,1559.6057178724711,Rain or Shine,1469.8987789577732,85,1463.5947098817674
NLEX,1515.781681427465,90,1523.6288834099425,TNT,1654.9010415397493,89,1647.0538395572717
Converge,1469.2653018566602,74,1458.7841348363122,Meralco,1593.903593381206,90,1604.384760401554
Terrafirma,1322.028954332454,74,1307.6285127500014,Phoenix,1431.983013052134,97,1446.3834546345868
San Miguel,1595.9814074204128,87,1605.8903258585651,Magnolia,1602.7799219312128,81,1592.8710034930605
NorthPort,1500.7702095456893,90,1481.2423796832315,Blackwater,1289.4044477587809,97,1308.9322776212387
Meralco,1604.384760401554,71,1595.458529946219,TNT,1647.0538395572717,78,1655.9800700126068
Phoenix,1446.3834546345868,106,1454.796048812638,Rain or Shine,1463.5947098817674,102,1455.1821157037161
Magnolia,1592.8710034930605,89,1600.6217782059214,Ginebra,1559.6057178724711,84,1551.8549431596102
Converge,1458.7841348363122,97,1466.8519762750623,Terrafirma,1307.6285127500014,84,1299.5606713112513
Ginebra,1551.8549431596102,83,1562.0537893983071,NLEX,1523.6288834099425,75,1513.4300371712457
NorthPort,1481.2423796832315,87,1473.1289628805837,Meralco,1595.458529946219,97,1603.5719467488668
Rain or Shine,1455.1821157037161,85,1451.9206503925977,TNT,1655.9800700126068,89,1659.2415353237252
Phoenix,1454.796048812638,77,1444.5101995799082,Magnolia,1600.6217782059214,95,1610.9076274386512
San Miguel,1605.8903258585651,72,1597.739125538885,Ginebra,1562.0537893983071,75,1570.2049897179872
Terrafirma,1299.5606713112513,70,1268.7727492899799,Blackwater,1308.9322776212387,107,1339.7201996425101
NLEX,1513.4300371712457,90,1536.1701894197442,Meralco,1603.5719467488668,75,1580.8317945003682
TNT,1659.2415353237252,87,1665.707847921362,Phoenix,1444.5101995799082,72,1438.0438869822715
Converge,1466.8519762750623,92,1455.4017357426476,San Miguel,1597.739125538885,111,1609.1893660712997
NorthPort,1473.1289628805837,112,1469.346168946258,TNT,1665.707847921362,117,1669.4906418556875
San Miguel,1609.1893660712997,99,1614.1340462760763,Rain or Shine,1451.9206503925977,93,1446.975970187821
Meralco,1580.8317945003682,89,1570.812726794066,Blackwater,1339.7201996425101,90,1349.7392673488123
Phoenix,1438.0438869822715,108,1431.5475483021528,NLEX,1536.1701894197442,114,1542.666528099863
TNT,1669.4906418556875,114,1673.0566365223765,Terrafirma,1268.7727492899799,86,1265.2067546232909
Ginebra,1570.2049897179872,105,1581.1671907280916,Converge,1455.4017357426476,89,1444.4395347325433
San Miguel,1614.1340462760763,122,1623.6752013298405,NorthPort,1469.346168946258,106,1459.805013892494
NLEX,1542.666528099863,73,1530.3780580596388,Magnolia,1610.9076274386512,87,1623.1960974788753
Rain or Shine,1446.975970187821,73,1442.2435406121754,Meralco,1570.812726794066,77,1575.5451563697118
Terrafirma,1265.2067546232909,83,1260.1740900905274,Ginebra,1581.1671907280916,106,1586.199855260855
Converge,1444.4395347325433,112,1454.9866119702424,NLEX,1530.3780580596388,108,1519.8309808219396
TNT,1673.0566365223765,99,1652.177553477121,San Miguel,1623.6752013298405,115,1644.5542843750961
Blackwater,1349.7392673488123,91,1357.6963038871816,Phoenix,1431.5475483021528,89,1423.5905117637835
Magnolia,1623.1960974788753,104,1626.811059772507,Terrafirma,1260.1740900905274,83,1256.5591277968958
NLEX,1519.8309808219396,86,1502.9624560191864,Rain or Shine,1442.2435406121754,96,1459.1120654149286
NorthPort,1459.805013892494,98,1449.9671385518584,Converge,1454.9866119702424,104,1464.8244873108779
San Miguel,1644.5542843750961,110,1646.3837601043026,Blackwater,1357.6963038871816,107,1355.866828157975
Ginebra,1586.199855260855,92,1573.7943866453654,TNT,1652.177553477121,106,1664.5830220926105
Blackwater,1355.866828157975,90,1343.8372612398693,Rain or Shine,1459.1120654149286,107,1471.1416323330343
Meralco,1575.5451563697118,90,1593.7367571164532,Ginebra,1573.7943866453654,73,1555.602785898624
Terrafirma,1256.5591277968958,108,1255.8206967773378,San Miguel,1646.3837601043026,109,1647.1221911238606
Phoenix,1423.5905117637835,92,1417.2652311309957,NorthPort,1449.9671385518584,95,1456.2924191846462
NLEX,1502.9624560191864,98,1516.8195771015376,Blackwater,1343.8372612398693,68,1329.9801401575182
Magnolia,1626.811059772507,97,1637.5396883699284,Meralco,1593.7367571164532,88,1583.0081285190317
Rain or Shine,1471.1416323330343,97,1477.5883596415918,Terrafirma,1255.8206967773378,82,1249.3739694687804
Converge,1464.8244873108779,66,1438.1518117258145,Phoenix,1417.2652311309957,89,1443.9379067160592
Meralco,1583.0081285190317,89,1591.7182949486241,San Miguel,1647.1221911238606,86,1638.4120246942682
NorthPort,1456.2924191846462,93,1449.2616358033792,Ginebra,1555.602785898624,100,1562.633569279891
Blackwater,1329.9801401575182,90,1326.0982077587844,Converge,1438.1518117258145,92,1442.0337441245483
Magnolia,1637.5396883699284,118,1651.6752912198106,Rain or Shine,1477.5883596415918,87,1463.4527567917096
Terrafirma,1249.3739694687804,89,1245.9992883308983,Meralco,1591.7182949486241,105,1595.0929760865063
Ginebra,1562.633569279891,100,1569.0784733368746,Phoenix,1443.9379067160592,93,1437.4930026590755
NLEX,1516.8195771015376,109,1529.1432931160666,NorthPort,1449.2616358033792,95,1436.9379197888502
Blackwater,1326.0982077587844,66,1321.13539671691,NLEX,1529.1432931160666,75,1534.106104157941
