name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
San Miguel,1649.0800714025586,94,1663.4218973303,Magnolia,1596.684539720091,78,1582.3427137923495
TNT,1524.6811494059973,100,1532.2209673561838,Alaska,1484.4451905193068,95,1476.9053725691203
NLEX,1452.7945267230334,92,1445.0991000025208,Ginebra,1578.5984833800612,102,1586.2939101005738
Phoenix,1495.1290515765963,116,1512.8235944854443,Meralco,1475.62696151629,98,1457.932418607442
Blackwater,1377.6185047035676,96,1392.9027275060262,NorthPort,1492.6985502515765,89,1477.414327449118
Rain or Shine,1540.3913138597038,87,1552.1412365506687,San Miguel,1663.4218973303,83,1651.671974639335
Terrafirma,1332.251656941219,101,1326.549231467048,TNT,1532.2209673561838,112,1537.9233928303547
Meralco,1457.932418607442,93,1473.5076008094725,Alaska,1476.9053725691203,81,1461.33019036709
Magnolia,1582.3427137923495,103,1586.2740036092657,NLEX,1445.0991000025208,100,1441.1678101856046
NorthPort,1477.414327449118,105,1469.7287562107247,Phoenix,1512.8235944854443,110,1520.5091657238377
Ginebra,1586.2939101005738,103,1589.6795980152817,Blackwater,1392.9027275060262,99,1389.5170395913183
Terrafirma,1326.549231467048,82,1322.1295635854942,Rain or Shine,1552.1412365506687,91,1556.5609044322225
San Miguel,1651.671974639335,88,1623.060709580388,TNT,1537.9233928303547,107,1566.5346578893018
Blackwater,1389.5170395913183,98,1405.0449131380356,NLEX,1441.1678101856046,88,1425.6399366388873
Alaska,1461.33019036709,87,1475.7733118203382,Magnolia,1586.2740036092657,81,1571.8308821560174
Rain or Shine,1556.5609044322225,70,1560.825651158742,NorthPort,1469.7287562107247,68,1465.4640094842052
Ginebra,1589.6795980152817,105,1599.646475179518,Meralco,1473.5076008094725,91,1463.5407236452363
TNT,1566.5346578893018,110,1583.082901692016,Phoenix,1520.5091657238377,91,1503.9609219211234
Terrafirma,1322.1295635854942,98,1319.5819287166603,San Miguel,1623.060709580388,105,1625.608344449222
Magnolia,1571.8308821560174,104,1559.2915194748302,Meralco,1463.5407236452363,109,1476.0800863264235
