name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Meralco,1571.0388451120257,105,1582.3398129001052,Rain or Shine,1445.3660228160957,87,1434.065055028016
Converge,1500.0390936877009,122,1525.5227405621333,NorthPort,1481.3718485033664,92,1455.888201628934
Blackwater,1302.7825152620421,102,1293.0799733490744,NLEX,1489.2905681401778,124,1498.9931100531455
TNT,1565.9531731009124,123,1570.7746243727706,Phoenix,1446.1882995208475,119,1441.3668482489893
Terrafirma,1306.2606863343021,115,1299.9436580822858,Converge,1525.5227405621333,130,1531.8397688141497
NorthPort,1455.888201628934,102,1450.685194475539,Meralco,1582.3398129001052,107,1587.5428200535002
Phoenix,1441.3668482489893,105,1430.2454451623403,Blackwater,1293.0799733490744,108,1304.2013764357234
Rain or Shine,1434.065055028016,100,1429.104032791352,TNT,1570.7746243727706,105,1575.7356466094348
Meralco,1587.5428200535002,88,1562.7891175381446,Terrafirma,1299.9436580822858,96,1324.6973605976414
NLEX,1498.9931100531455,121,1509.0892792054617,NorthPort,1450.685194475539,112,1440.5890253232228
Converge,1531.8397688141497,111,1540.596785850432,Magnolia,1646.0585189673393,109,1637.301501931057
San Miguel,1548.2165780344485,114,1561.2427897201944,Phoenix,1430.2454451623403,93,1417.2192334765944
Blackwater,1304.2013764357234,86,1298.1214303871764,San Miguel,1561.2427897201944,105,1567.3227357687415
TNT,1575.7356466094348,108,1568.1466128585841,NLEX,1509.0892792054617,110,1516.6783129563123
Phoenix,1417.2192334765944,108,1432.1877256256932,NorthPort,1440.5890253232228,97,1425.620533174124
Rain or Shine,1429.104032791352,98,1418.9240090092599,Converge,1540.596785850432,112,1550.7768096325242
San Miguel,1567.3227357687415,122,1574.124846802347,Terrafirma,1324.6973605976414,102,1317.8952495640358
Magnolia,1637.301501931057,85,1622.9275307931791,TNT,1568.1466128585841,93,1582.520583996462
NLEX,1516.6783129563123,98,1522.3171735946105,Phoenix,1432.1877256256932,94,1426.548864987395
Meralco,1562.7891175381446,125,1570.0685209394617,Blackwater,1298.1214303871764,99,1290.8420269858593
San Miguel,1574.124846802347,100,1581.287160730706,Magnolia,1622.9275307931791,98,1615.76521686482
Ginebra,1663.2916502787723,116,1667.0273654784146,Rain or Shine,1418.9240090092599,108,1415.1882938096176
TNT,1582.520583996462,128,1591.0882329732053,Converge,1550.7768096325242,122,1542.2091606557808
NLEX,1522.3171735946105,111,1518.52158933075,Ginebra,1667.0273654784146,114,1670.8229497422751
Blackwater,1290.8420269858593,106,1277.0154720946641,Terrafirma,1317.8952495640358,119,1331.721804455231
Meralco,1570.0685209394617,86,1559.1834098753095,San Miguel,1581.287160730706,94,1592.1722717948583
Magnolia,1615.76521686482,108,1622.4633742829658,Phoenix,1426.548864987395,95,1419.8507075692494
Ginebra,1670.8229497422751,115,1676.338107859065,NorthPort,1425.620533174124,100,1420.105375057334
Terrafirma,1331.721804455231,109,1325.0705463333993,TNT,1591.0882329732053,131,1597.739491095037
San Miguel,1592.1722717948583,103,1582.7615859229657,Converge,1542.2091606557808,107,1551.6198465276734
Rain or Shine,1415.1882938096176,122,1420.115446826331,Blackwater,1277.0154720946641,117,1272.0883190779507
Magnolia,1622.4633742829658,118,1655.4195029689404,Ginebra,1676.338107859065,88,1643.3819791730905
Blackwater,1272.0883190779507,116,1267.4691208641846,TNT,1597.739491095037,138,1602.3586893088032
NorthPort,1420.105375057334,132,1412.4714511672078,San Miguel,1582.7615859229657,145,1590.3955098130918
Rain or Shine,1420.115446826331,120,1424.2301661291187,Terrafirma,1325.0705463333993,118,1320.9558270306115
NLEX,1518.52158933075,103,1508.6196682174404,Magnolia,1655.4195029689404,119,1665.32142408225
TNT,1602.3586893088032,111,1611.266839625033,Meralco,1559.1834098753095,104,1550.2752595590796
Ginebra,1643.3819791730905,99,1634.9799781095294,San Miguel,1590.3955098130918,102,1598.797510876653
Terrafirma,1320.9558270306115,100,1304.9038879977843,Phoenix,1419.8507075692494,125,1435.9026466020766
Converge,1551.6198465276734,112,1542.42461889488,NLEX,1508.6196682174404,116,1517.8148958502338
Blackwater,1267.4691208641846,93,1263.3704260459572,Ginebra,1634.9799781095294,119,1639.0786729277568
