name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Magnolia,1602.7301699929526,110,1612.7993338613178,TNT,1571.2281849639585,102,1561.1590210955933
Blackwater,1327.143915174353,103,1361.4298013816162,Converge,1509.6512117034854,84,1475.365325496222
Meralco,1473.0482730450435,107,1481.3261795993515,Rain or Shine,1456.7961979593224,102,1448.5182914050145
Terrafirma,1273.8031706007941,103,1270.2306690778282,NorthPort,1477.7010461904501,108,1481.273547713416
NLEX,1407.6446025770085,101,1396.317127402604,Phoenix,1471.410238137134,113,1482.7377133115385
Blackwater,1361.4298013816162,84,1355.020086263556,Meralco,1481.3261795993515,91,1487.7358947174116
Converge,1475.365325496222,98,1470.4086578372198,TNT,1561.1590210955933,101,1566.1156887545956
NorthPort,1481.273547713416,113,1492.7259969973525,Rain or Shine,1448.5182914050145,103,1437.065842121078
Phoenix,1482.7377133115385,92,1472.948306779563,Magnolia,1612.7993338613178,107,1622.5887403932934
Terrafirma,1270.2306690778282,97,1287.4767123341665,Blackwater,1355.020086263556,87,1337.7740430072179
San Miguel,1614.0935654170135,113,1599.1988631962276,NLEX,1396.317127402604,117,1411.2118296233898
Magnolia,1622.5887403932934,112,1641.5193898821435,NorthPort,1492.7259969973525,74,1473.7953475085023
Ginebra,1686.1885211455353,100,1692.3325671074497,Converge,1470.4086578372198,86,1464.2646118753055
NLEX,1411.2118296233898,112,1403.6876943521447,Terrafirma,1287.4767123341665,113,1295.0008476054115
Rain or Shine,1437.065842121078,98,1432.6598842752671,Phoenix,1472.948306779563,99,1477.3542646253738
Meralco,1487.7358947174116,83,1479.5209882879751,San Miguel,1599.1988631962276,93,1607.4137696256641
Ginebra,1692.3325671074497,91,1685.122552472954,Magnolia,1641.5193898821435,93,1648.729404516639
Terrafirma,1295.0008476054115,93,1285.3663259723428,TNT,1566.1156887545956,133,1575.7502103876643
NorthPort,1473.7953475085023,104,1459.378087348506,NLEX,1403.6876943521447,112,1418.1049545121411
Phoenix,1477.3542646253738,111,1482.2489943072003,Blackwater,1337.7740430072179,106,1332.8793133253914
Rain or Shine,1432.6598842752671,102,1429.8862075341935,Ginebra,1685.122552472954,107,1687.8962292140277
Converge,1464.2646118753055,96,1457.6072010420226,San Miguel,1607.4137696256641,105,1614.071180458947
TNT,1575.7502103876643,95,1553.6276324294302,Meralco,1479.5209882879751,109,1501.6435662462093
Ginebra,1687.8962292140277,90,1689.1447048385562,Blackwater,1332.8793133253914,87,1331.630837700863
Terrafirma,1285.3663259723428,84,1277.0511643468146,Phoenix,1482.2489943072003,103,1490.5641559327285
