name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Mahindra,1482.8938533949022,86,1471.7208290787635,Meralco,1487.1271396098218,94,1498.3001639259605
NLEX,1477.921553877122,105,1467.5066337692845,Rain or Shine,1500.7349025678643,113,1511.149822675702
Phoenix,1487.795671873966,118,1493.8476175850512,Blackwater,1488.340772825513,116,1482.288827114428
Alaska,1506.7710569764427,107,1532.339625921271,Globalport,1502.2651006569924,79,1476.6965317121642
Rain or Shine,1511.149822675702,99,1517.947536232845,Mahindra,1471.7208290787635,95,1464.9231155216203
Meralco,1498.3001639259605,91,1507.6560336733137,NLEX,1467.5066337692845,84,1458.1507640219313
Blackwater,1482.288827114428,95,1469.0422643904924,Alaska,1532.339625921271,109,1545.5861886452064
Phoenix,1493.8476175850512,82,1475.62236295628,Star,1515.3481744241635,101,1533.5734290529347
NLEX,1458.1507640219313,81,1447.082784347192,Mahindra,1464.9231155216203,89,1475.9910951963595
TNT,1503.0151809034635,89,1494.3680602437248,Meralco,1507.6560336733137,94,1516.3031543330524
Star,1533.5734290529347,103,1553.3227776773722,Globalport,1476.6965317121642,77,1456.9471830877267
Blackwater,1469.0422643904924,88,1460.3374129385995,Rain or Shine,1517.947536232845,95,1526.652387684738
Phoenix,1475.62236295628,109,1453.2842410621884,TNT,1494.3680602437248,134,1516.7061821378165
Alaska,1545.5861886452064,98,1552.932392189284,Mahindra,1475.9910951963595,92,1468.644891652282
Rain or Shine,1526.652387684738,83,1516.615540462899,Meralco,1516.3031543330524,89,1526.3400015548914
TNT,1516.7061821378165,92,1522.3174633899555,Blackwater,1460.3374129385995,89,1454.7261316864606
Star,1553.3227776773722,106,1557.8532967106523,NLEX,1447.082784347192,103,1442.552265313912
Ginebra,1514.505834308404,91,1505.876087675052,Phoenix,1453.2842410621884,94,1461.9139876955403
Alaska,1552.932392189284,105,1559.0160875707672,Rain or Shine,1516.615540462899,102,1510.5318450814157
Meralco,1526.3400015548914,92,1516.091004855938,San Miguel,1533.2807585813443,99,1543.5297552802976
Mahindra,1468.644891652282,83,1457.409247872914,Star,1557.8532967106523,97,1569.0889404900204
Globalport,1456.9471830877267,96,1441.792607217448,Ginebra,1505.876087675052,113,1521.0306635453308
TNT,1522.3174633899555,126,1528.7207509052773,NLEX,1442.552265313912,121,1436.14897779859
San Miguel,1543.5297552802976,110,1559.336340756403,Phoenix,1461.9139876955403,88,1446.107402219435
Blackwater,1454.7261316864606,118,1463.1088044416567,Globalport,1441.792607217448,113,1433.4099344622518
Meralco,1516.091004855938,99,1529.2884194667354,Alaska,1559.0160875707672,91,1545.81867295997
Mahindra,1457.409247872914,84,1452.8519678326963,TNT,1528.7207509052773,86,1533.278030945495
Ginebra,1521.0306635453308,113,1540.9385273098883,Star,1569.0889404900204,98,1549.1810767254628
NLEX,1436.14897779859,82,1429.090147460606,Globalport,1433.4099344622518,85,1440.468764800236
Phoenix,1446.107402219435,94,1441.41662663047,Rain or Shine,1510.5318450814157,96,1515.2226206703806
Blackwater,1463.1088044416567,91,1452.496981224885,Meralco,1529.2884194667354,102,1539.900242683507
Star,1549.1810767254628,97,1539.8732317860438,San Miguel,1559.336340756403,103,1568.644185695822
San Miguel,1568.644185695822,109,1585.204487960264,Mahindra,1452.8519678326963,80,1436.2916655682543
Ginebra,1540.9385273098883,101,1548.6305142852211,NLEX,1429.090147460606,92,1421.3981604852731
Alaska,1545.81867295997,86,1529.8222147280985,Phoenix,1441.41662663047,94,1457.4130848623415
Globalport,1440.468764800236,88,1425.894461533037,TNT,1533.278030945495,109,1547.852334212694
Star,1539.8732317860438,96,1546.6822950250598,Blackwater,1452.496981224885,90,1445.687917985869
Rain or Shine,1515.2226206703806,98,1503.6012228543082,San Miguel,1585.204487960264,111,1596.8258857763365
Mahindra,1436.2916655682543,86,1415.7698192791422,Globalport,1425.894461533037,105,1446.416307822149
TNT,1547.852334212694,89,1528.8686680652334,Ginebra,1548.6305142852211,107,1567.6141804326817
Blackwater,1445.687917985869,104,1454.507782431071,NLEX,1421.3981604852731,98,1412.578296040071
Meralco,1539.900242683507,81,1552.0084029494637,Phoenix,1457.4130848623415,66,1445.3049245963848
Phoenix,1445.3049245963848,84,1459.909706293122,Globalport,1446.416307822149,72,1431.8115261254118
San Miguel,1596.8258857763365,103,1581.4739940463437,TNT,1528.8686680652334,112,1544.220559795226
Rain or Shine,1503.6012228543082,93,1495.4100614093159,Star,1546.6822950250598,99,1554.8734564700521
Mahindra,1415.7698192791422,96,1429.7204617067898,Blackwater,1454.507782431071,87,1440.5571400034235
Ginebra,1567.6141804326817,103,1571.9869530800322,Alaska,1529.8222147280985,102,1525.449442080748
Globalport,1431.8115261254118,94,1448.546673241931,Meralco,1552.0084029494637,86,1535.2732558329444
Star,1554.8734564700521,107,1567.3414820154273,TNT,1544.220559795226,97,1531.752534249851
NLEX,1412.578296040071,108,1407.9044969739016,San Miguel,1581.4739940463437,114,1586.1477931125132
Ginebra,1571.9869530800322,112,1559.4568451759108,Rain or Shine,1495.4100614093159,118,1507.9401693134373
TNT,1531.752534249851,119,1543.6391712776838,Alaska,1525.449442080748,110,1513.562805052915
Phoenix,1459.909706293122,121,1454.2835289615093,Mahindra,1429.7204617067898,122,1435.3466390384026
San Miguel,1586.1477931125132,99,1573.6618854084015,Ginebra,1559.4568451759108,107,1571.9427528800225
Alaska,1513.562805052915,92,1497.5078197811824,NLEX,1407.9044969739016,100,1423.9594822456343
Meralco,1535.2732558329444,90,1518.4197417594123,Star,1567.3414820154273,108,1584.1949960889594
Rain or Shine,1507.9401693134373,101,1496.0739792482818,Globalport,1448.546673241931,107,1460.4128633070866
Ginebra,1571.9427528800225,96,1581.237362906804,Blackwater,1440.5571400034235,82,1431.2625299766419
NLEX,1423.9594822456343,116,1430.6883700849353,Phoenix,1454.2835289615093,114,1447.5546411222083
San Miguel,1573.6618854084015,109,1584.4140302072044,Alaska,1497.5078197811824,97,1486.7556749823796
TNT,1543.6391712776838,105,1549.4553377927712,Rain or Shine,1496.0739792482818,102,1490.2578127331944
Meralco,1518.4197417594123,89,1514.4695321712902,Ginebra,1581.237362906804,90,1585.1875724949261
Blackwater,1431.2625299766419,113,1424.0808994526346,San Miguel,1584.4140302072044,124,1591.5956607312116
Alaska,1486.7556749823796,98,1481.4263933618047,Star,1584.1949960889594,102,1589.5242777095343
San Miguel,1591.5956607312116,112,1599.5606140483765,Globalport,1460.4128633070866,101,1452.4479099899218
Ginebra,1585.1875724949261,94,1593.7095814428822,Mahindra,1435.3466390384026,80,1426.8246300904466
