k,brier,logloss,root series wins squared error
10,0.2418357893197935,0.6767401980527612,2.487614313843454
11,0.2412106980148165,0.6754694237887989,2.4806569333416633
12,0.24061446392556815,0.6742540052573103,2.47422078057315
13,0.24004584602647075,0.6730915723499153,2.468267276759199
14,0.2395036677547072,0.6719799021826581,2.4627602238155526
15,0.23898681370614466,0.6709169080557691,2.457665782953881
16,0.23849422644331317,0.6699006293540366,2.452952426154369
17,0.23802490342167193,0.6689292223022499,2.44859086645366
18,0.23757789403861596,0.6680009514978638,2.444553972247033
19,0.2371522968081026,0.6671141821501816,2.440816670072744
20,0.2367472566624023,0.6662673729619698,2.4373558396555457
21,0.23636196238124021,0.6654590695954664,2.4341502043509347
22,0.23599564414752525,0.664687898670254,2.431180219560124
23,0.23564757122792207,0.6639525622454652,2.428427961181002
24,0.2353170497757275,0.663251832743313,2.4258770157215306
25,0.23500342075285569,0.662584548275016,2.4235123733260884
26,0.23470605796719698,0.6619496083338634,2.4213203246472106
27,0.23442436622120327,0.6613459698234895,2.4192883622296266
28,0.23415777956724318,0.6607726433924056,2.4174050868545653
29,0.23390575966505706,0.6602286900485305,2.4156601191140625
30,0.23366779423651235,0.6597132180298858,2.414044016342095
31,0.23344339561280314,0.6592253799098069,2.4125481949165435
32,0.23323209936924183,0.6587643699169932,2.411164857858531
33,0.23303346304284311,0.6583294214524985,2.40988692758957
34,0.23284706492799734,0.6579198047873769,2.4087079836584198
35,0.23267250294565492,0.6575348249261432,2.407622205215415
36,0.23250939358159717,0.657173819622533,2.406624317989572
37,0.2323573708895367,0.6568361575352264,2.4057095455107467
38,0.2322160855549774,0.6565212365122964,2.404873564313335
39,0.23208520401594762,0.6562284819940928,2.404112462858089
40,0.23196440763692422,0.6559573455251971,2.403422703912993
41,0.2318533919324563,0.6557073033668568,2.4028010901417907
42,0.2317518658371939,0.6554778552020583,2.4022447326587586
43,0.23165955101922175,0.655268522926066,2.40175102231986
44,0.23157618123378315,0.6550788495158444,2.4013176035330175
45,0.23150150171466474,0.6549083979723526,2.4009423503833514
46,0.2314352686006844,0.6547567503301854,2.4006233448825323
47,0.23137724839489773,0.6546235067295065,2.400358857164573
48,0.23132721745429843,0.6545082845456267,2.400147327463303
49,0.23128496150793817,0.6544107175719682,2.399987349719141
50,0.2312502752015446,0.6543304552524973,2.399877656674707
