k,revert,brier,logloss,root series wins squared error
10,0.0,0.2418357893197935,0.6767401980527612,2.487614313843454
10,0.01,0.24176137360202782,0.6765900526689186,2.486892788749333
10,0.02,0.24168688559800872,0.6764397204187566,2.4861760869412466
10,0.03,0.24161232932517768,0.6762892078646366,2.4854642725740397
10,0.04,0.2415377088976588,0.6761385217435257,2.4847574108860297
10,0.05,0.24146302852643742,0.6759876689671033,2.4840555681958776
10,0.06,0.24138829251952454,0.6758366566218669,2.4833588118991203
10,0.07,0.24131350528210663,0.6756854919692284,2.4826672104643537
10,0.08,0.24123867131668014,0.6755341824456065,2.481980833429059
10,0.09,0.2411637952231688,0.6753827356625072,2.481299751395046
10,0.1,0.2410888816990245,0.6752311594066024,2.4806240360235225
10,0.11,0.2410139355393095,0.6750794616397982,2.4799537600297494
10,0.12,0.24093896163675896,0.6749276504992936,2.479288997177306
10,0.13,0.2408639649818251,0.6747757342976342,2.478629822271901
10,0.14,0.24078895066269831,0.6746237215227542,2.477976311154776
10,0.15,0.24071392386530777,0.674471620838011,2.4773285406956314
10,0.16,0.24063888987329835,0.6743194410822092,2.476686588785102
10,0.17,0.2405638540679845,0.6741671912696163,2.476050534326739
10,0.18,0.24048882192827853,0.6740148805899651,2.4754204572285
10,0.19,0.24041379903059323,0.6738625184084492,2.474796438393733
10,0.2,0.24033879104871775,0.6737101142657045,2.474178559711618
10,0.21,0.24026380375366604,0.6735576778777801,2.4735669040470873
10,0.22,0.24018884301349575,0.6734052191360987,2.4729615552301594
10,0.23,0.2401139147930976,0.6732527481074021,2.4723625980447217
10,0.24,0.24003902515395412,0.6731002750336852,2.471770118216705
10,0.25,0.23996418025386623,0.6729478103321189,2.471184202401659
10,0.26,0.23988938634664683,0.6727953645949545,2.4706049381716944
10,0.27,0.23981464978178083,0.6726429485894196,2.470032414001779
10,0.28,0.23973997700404986,0.6724905732575954,2.4694667192553865
10,0.29,0.23966537455312137,0.6723382497162806,2.4689079441694486
10,0.3,0.23959084906310035,0.6721859892568403,2.468356179838628
10,0.31,0.23951640726204362,0.6720338033450379,2.4678115181988534
10,0.32,0.23944205597143461,0.671881703620852,2.4672740520101533
10,0.33,0.2393678021056187,0.6717297018982743,2.466743874838708
10,0.34,0.23929365267119704,0.6715778101650937,2.466221081038153
10,0.35,0.23921961476637896,0.6714260405826582,2.4657057657300867
10,0.36,0.23914569558029153,0.6712744054856226,2.4651980247837746
10,0.37,0.239071902392245,0.6711229173816741,2.464697954795028
10,0.38,0.2389982425709536,0.6709715889512412,2.4642056530642438
10,0.39,0.23892472357371136,0.6708204330471813,2.4637212175735854
10,0.4,0.23885135294552037,0.6706694626944482,2.4632447469632854
10,0.41,0.23877813831817268,0.6705186910897388,2.4627763405070513
10,0.42,0.23870508740928376,0.6703681316011195,2.4623160980865637
10,0.43,0.23863220802127688,0.670217797767629,2.4618641201650453
10,0.44,0.23855950804031736,0.6700677032988603,2.461420507759882
10,0.45,0.2384869954351979,0.669917862074518,2.460985362414292
10,0.46,0.23841467825617071,0.669768288143955,2.4605587861680087
10,0.47,0.23834256463372927,0.6696189957256816,2.460140881526981
10,0.48,0.238270662777337,0.6694699992068534,2.459731751432061
10,0.49,0.23819898097410308,0.6693213131427329,2.4593314992266895
10,0.5,0.238127527587405,0.6691729522561247,2.4589402286235296
10,0.51,0.23805631105545585,0.6690249314367858,2.4585580436700756
10,0.52,0.23798533988981846,0.6688772657408093,2.4581850487132053
10,0.53,0.23791462267386373,0.6687299703899799,2.457821348362667
10,0.54,0.23784416806117356,0.6685830607711033,2.4574670474534965
10,0.55,0.23777398477388878,0.6684365524353061,2.4571222510073616
10,0.56,0.23770408160100048,0.6682904610973069,2.4567870641928233
10,0.57,0.2376344673965852,0.6681448026346595,2.456461592284505
10,0.58,0.2375651510779849,0.6679995930869658,2.4561459406211736
10,0.59,0.23749614162392893,0.6678548486550566,2.4558402145627376
10,0.6,0.2374274480726011,0.6677105857001451,2.4555445194461414
10,0.61,0.23735907951964974,0.6675668207429452,2.455258960540189
10,0.62,0.2372910451161411,0.667423570462761,2.4549836429992675
10,0.63,0.23722335406645806,0.6672808516965435,2.4547186718160106
10,0.64,0.2371560156261413,0.6671386814379117,2.4544641517728847
10,0.65,0.23708903909967605,0.6669970768361446,2.4542201873927247
10,0.66,0.23702243383822347,0.666856055195136,2.4539868828882234
10,0.67,0.23695620923729752,0.6667156339723173,2.4537643421103996
10,0.68,0.23689037473438623,0.6665758307775441,2.4535526684960587
10,0.69,0.2368249398065221,0.6664366633719475,2.4533519650142668
10,0.7,0.23675991396779633,0.6662981496667524,2.453162334111857
10,0.71,0.23669530676682335,0.6661603077220551,2.452983877658021
10,0.72,0.2366311277841527,0.666023155745569,2.4528166968879797
10,0.73,0.2365673866296308,0.6658867120913304,2.4526608923457904
10,0.74,0.2365040929397126,0.6657509952583683,2.4525165638263275
10,0.75,0.23644125637472557,0.665616023889336,2.4523838103164644
10,0.76,0.23637888661608566,0.665481816769105,2.4522627299355158
10,0.77,0.23631699336346706,0.6653483928233195,2.4521534198749677
10,0.78,0.23625558633192686,0.6652157711169142,2.452055976337568
10,0.79,0.23619467524898694,0.6650839708525901,2.451970494475824
10,0.8,0.23613426985167188,0.6649530113692533,2.451897068329954
10,0.81,0.2360743798835081,0.6648229121404131,2.45183579076537
10,0.82,0.236015015091482,0.6646936927725398,2.4517867534097566
10,0.83,0.2359561852229618,0.6645653730033824,2.451750046589802
10,0.84,0.2358979000225827,0.6644379727002474,2.451725759267675
10,0.85,0.23584016922909787,0.6643115118582339,2.451713978977302
10,0.86,0.23578300257219742,0.6641860105984299,2.4517147917605535
10,0.87,0.23572640976929674,0.6640614891660681,2.4517282821033937
10,0.88,0.23567040052229626,0.6639379679286384,2.451754532872113
10,0.89,0.23561498451431465,0.6638154673739598,2.451793625249704
10,0.9,0.2355601714063972,0.663694008108212,2.451845638672517
10,0.91,0.23550597083420252,0.6635736108539262,2.451910650767247
10,0.92,0.23545239240466848,0.6634542964479287,2.4519887372883957
10,0.93,0.23539944569265991,0.6633360858392515,2.452079972056296
10,0.94,0.23534714023760134,0.6632190000869945,2.4521844268958044
10,0.95,0.2352954855400952,0.6631030603581499,2.452302171575794
10,0.96,0.23524449105852985,0.6629882879253823,2.4524332737495347
10,0.97,0.23519416620567804,0.6628747041647711,2.452577798896105
10,0.98,0.23514452034528927,0.6627623305535085,2.4527358102629306
10,0.99,0.23509556278867835,0.6626511886675579,2.4529073688095973
10,1.0,0.23504730279131208,0.6625413001792705,2.453092533153042
11,0.0,0.2412106980148165,0.6754694237887989,2.4806569333416633
11,0.01,0.24113162064900062,0.6753096351446451,2.479908624535565
11,0.02,0.24105251647317588,0.6751497419157072,2.479165724553873
11,0.03,0.2409733900027413,0.6749897513810783,2.4784283036573656
11,0.04,0.24089424585690158,0.6748296710088131,2.477696433217406
11,0.05,0.24081508875883956,0.6746695084560856,2.4769701857122572
11,0.06,0.24073592353587092,0.6745092715693372,2.4762496347230125
11,0.07,0.24065675511958012,0.67434896838442,2.4755348549291236
11,0.08,0.24057758854593678,0.6741886071267311,2.4748259221035336
11,0.09,0.24049842895538975,0.6740281962113372,2.4741229131073723
11,0.1,0.24041928159294118,0.6738677442430951,2.4734259058842247
11,0.11,0.24034015180819596,0.6737072600167588,2.4727349794539513
11,0.12,0.24026104505538753,0.6735467525170801,2.47205021390603
11,0.13,0.24018196689337884,0.6733862309188982,2.471371690392433
11,0.14,0.2401029229856361,0.6732257045872199,2.470699491119996
11,0.15,0.24002391910017606,0.6730651830772889,2.4700336993422813
11,0.16,0.2399449611094834,0.6729046761346443,2.469374399350909
11,0.17,0.23986605499039967,0.6727441936951676,2.468721676466345
11,0.18,0.2397872068239803,0.6725837458851169,2.4680756170281333
11,0.19,0.23970842279532026,0.6724233430211503,2.467436308384533
11,0.2,0.2396297091933455,0.6722629956103345,2.466803838881579
11,0.21,0.23955107241057125,0.6721027143501426,2.4661782978515103
11,0.22,0.23947251894282318,0.6719425101284351,2.4655597756005774
11,0.23,0.23939405538892328,0.6717823940234287,2.464948363396189
11,0.24,0.2393156884503366,0.6716223773036489,2.4643441534533976
11,0.25,0.239237424930779,0.6714624714278683,2.463747238920684
11,0.26,0.23915927173578544,0.6713026880450278,2.463157713865044
11,0.27,0.23908123587223531,0.6711430389941417,2.4625756732563353
11,0.28,0.23900332444783648,0.6709835363041875,2.4620012129508853
11,0.29,0.2389255446705644,0.6708241921939739,2.46143442967432
11,0.3,0.23884790384805674,0.6706650190719959,2.4608754210036126
11,0.31,0.2387704093869618,0.670506029536268,2.4603242853483125
