name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Alaska,1477.2317371607983,88,1488.0145781158287,NLEX,1463.5115427761202,80,1452.7287018210898
TNT,1522.3010797627865,78,1518.6721015182297,San Miguel,1645.3335095904501,80,1648.9624878350069
Ginebra,1574.131126117828,86,1589.382061286234,Magnolia,1602.8728498216685,75,1587.6219146532626
Rain or Shine,1539.466559388858,91,1547.9380288205,NorthPort,1504.8513214455209,85,1496.379852013879
Phoenix,1526.2954029349776,91,1540.8327236131947,Alaska,1488.0145781158287,76,1473.4772574376116
Magnolia,1587.6219146532626,106,1614.4614696526808,Ginebra,1589.382061286234,77,1562.5425062868158
San Miguel,1648.9624878350069,88,1635.6229422562133,TNT,1518.6721015182297,93,1532.0116470970233
TNT,1532.0116470970233,86,1523.5027491661485,San Miguel,1635.6229422562133,96,1644.131840187088
Ginebra,1562.5425062868158,72,1550.018566524791,Magnolia,1614.4614696526808,85,1626.9854094147056
Magnolia,1626.9854094147056,77,1613.248660817375,Rain or Shine,1547.9380288205,84,1561.6747774178307
San Miguel,1644.131840187088,100,1653.6860530613142,Phoenix,1540.8327236131947,88,1531.2785107389686
Rain or Shine,1561.6747774178307,93,1580.0039765794445,Magnolia,1613.248660817375,80,1594.919461655761
Phoenix,1531.2785107389686,82,1523.4621098930097,San Miguel,1653.6860530613142,92,1661.502453907273
Magnolia,1594.919461655761,85,1607.937790729606,Rain or Shine,1580.0039765794445,74,1566.9856475055997
San Miguel,1661.502453907273,90,1652.1487505631742,Phoenix,1523.4621098930097,92,1532.8158132371086
Rain or Shine,1566.9856475055997,91,1561.0129638292412,Magnolia,1607.937790729606,94,1613.9104744059644
Phoenix,1532.8158132371086,91,1519.0140777726397,San Miguel,1652.1487505631742,114,1665.9504860276431
Magnolia,1613.9104744059644,82,1623.1537632544942,Rain or Shine,1561.0129638292412,74,1551.7696749807114
San Miguel,1665.9504860276431,105,1673.3479139555518,Phoenix,1519.0140777726397,94,1511.616649844731
Rain or Shine,1551.7696749807114,91,1568.3147379793293,Magnolia,1623.1537632544942,81,1606.6087002558763
Magnolia,1606.6087002558763,63,1612.6449154454572,Rain or Shine,1568.3147379793293,60,1562.2785227897484
San Miguel,1673.3479139555518,94,1662.5030535800058,Magnolia,1612.6449154454572,99,1623.4897758210031
Magnolia,1623.4897758210031,101,1614.4323971109925,San Miguel,1662.5030535800058,108,1671.5604322900165
San Miguel,1671.5604322900165,82,1661.926384915296,Magnolia,1614.4323971109925,86,1624.066444485713
Magnolia,1624.066444485713,98,1608.861155464987,San Miguel,1661.926384915296,114,1677.131673936022
San Miguel,1677.131673936022,86,1669.503442724418,Magnolia,1608.861155464987,88,1616.489386676591
Magnolia,1616.489386676591,86,1604.6486473189223,San Miguel,1669.503442724418,98,1681.3441820820867
San Miguel,1681.3441820820867,72,1685.0704102163927,Magnolia,1604.6486473189223,71,1600.9224191846163
