name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Alaska,1578.2554453042944,110,1557.0896471519106,Columbian,1330.1524796592532,117,1351.318277811637
NorthPort,1413.0842618468196,99,1424.1514145140054,Rain or Shine,1480.1318145706675,94,1469.0646619034817
Phoenix,1499.90165178704,116,1486.5560692232802,NLEX,1430.108700782433,123,1443.4542833461928
Meralco,1556.9654940759617,98,1568.3528395920375,Magnolia,1603.790228142478,92,1592.4028826264023
Rain or Shine,1469.0646619034817,96,1475.014254731949,Columbian,1351.318277811637,90,1345.3686849831697
Ginebra,1634.1494224385604,102,1648.7001912680023,Alaska,1557.0896471519106,83,1542.5388783224687
TNT,1483.3775595552797,135,1505.4096549045214,Blackwater,1440.3050900543274,107,1418.2729947050857
San Miguel,1549.7778517828854,130,1560.5213334682942,Phoenix,1486.5560692232802,119,1475.8125875378714
NLEX,1443.4542833461928,105,1457.895591297557,Meralco,1568.3528395920375,99,1553.9115316406733
Magnolia,1592.4028826264023,96,1600.9268960368345,NorthPort,1424.1514145140054,80,1415.6274011035732
Rain or Shine,1475.014254731949,91,1462.0534022766071,TNT,1505.4096549045214,103,1518.3705073598633
Phoenix,1475.8125875378714,103,1486.0477975695187,Ginebra,1648.7001912680023,101,1638.464981236355
Blackwater,1418.2729947050857,109,1409.967914785438,NLEX,1457.895591297557,115,1466.2006712172047
Alaska,1542.5388783224687,83,1519.4977150704767,San Miguel,1560.5213334682942,109,1583.5624967202862
NorthPort,1415.6274011035732,108,1403.342564152298,Columbian,1345.3686849831697,114,1357.6535219344448
TNT,1518.3705073598633,123,1526.1500367775786,Phoenix,1486.0477975695187,118,1478.2682681518033
Meralco,1553.9115316406733,101,1575.5301505496482,Alaska,1519.4977150704767,75,1497.8790961615018
Magnolia,1600.9268960368345,69,1603.7475204466546,Rain or Shine,1462.0534022766071,68,1459.232777866787
San Miguel,1583.5624967202862,98,1588.4370093555613,NLEX,1466.2006712172047,94,1461.3261585819296
Blackwater,1409.967914785438,107,1421.840281324605,NorthPort,1403.342564152298,98,1391.4701976131312
NLEX,1461.3261585819296,113,1471.669409108113,Ginebra,1638.464981236355,111,1628.1217307101715
Columbian,1357.6535219344448,120,1353.3917120294166,TNT,1526.1500367775786,125,1530.411846682607
Phoenix,1478.2682681518033,94,1465.915798422835,Meralco,1575.5301505496482,111,1587.8826202786165
Alaska,1497.8790961615018,90,1492.1666786648905,Magnolia,1603.7475204466546,95,1609.459937943266
NorthPort,1391.4701976131312,100,1387.570064711907,TNT,1530.411846682607,103,1534.311979583831
Rain or Shine,1459.232777866787,84,1453.3406128056945,Phoenix,1465.915798422835,86,1471.8079634839276
Columbian,1353.3917120294166,102,1371.7725633170305,Blackwater,1421.840281324605,90,1403.459430036991
Magnolia,1609.459937943266,89,1604.010558177586,San Miguel,1588.4370093555613,90,1593.886389121241
Phoenix,1471.8079634839276,70,1454.5909021776004,NorthPort,1387.570064711907,80,1404.7871260182342
