name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Phoenix,1444.7053393466276,97,1428.5985280711184,TNT,1514.206444921144,118,1530.3132561966534
NLEX,1436.3851753249169,105,1450.1339696432606,Alaska,1543.931433843852,99,1530.1826395255082
Rain or Shine,1537.9735747768793,80,1526.9331327053374,Ginebra,1563.707251417966,89,1574.747693489508
San Miguel,1613.8526510467286,106,1624.8222212034939,TNT,1530.3132561966534,93,1519.343686039888
Magnolia,1618.1727527351347,86,1624.8399911086037,Globalport,1506.9643539977756,79,1500.2971156243066
Ginebra,1574.747693489508,99,1584.1837882488321,Rain or Shine,1526.9331327053374,91,1517.4970379460133
Alaska,1530.1826395255082,83,1519.8239728263168,NLEX,1450.1339696432606,87,1460.492636342452
San Miguel,1624.8222212034939,102,1637.269231311301,Ginebra,1584.1837882488321,90,1571.736778141025
NLEX,1460.492636342452,88,1468.8731866853736,Magnolia,1624.8399911086037,87,1616.459440765682
Ginebra,1571.736778141025,102,1567.067630001183,San Miguel,1637.269231311301,104,1641.938379451143
Magnolia,1616.459440765682,99,1625.4763347874555,NLEX,1468.8731866853736,84,1459.8562926636002
San Miguel,1641.938379451143,87,1627.3041834081423,Ginebra,1567.067630001183,95,1581.7018260441837
NLEX,1459.8562926636002,99,1454.6896771426818,Magnolia,1625.4763347874555,106,1630.6429503083739
Ginebra,1581.7018260441837,81,1563.9303772036892,San Miguel,1627.3041834081423,102,1645.0756322486368
Magnolia,1630.6429503083739,79,1605.8066590299782,NLEX,1454.6896771426818,91,1479.5259684210776
San Miguel,1645.0756322486368,100,1652.070137200864,Ginebra,1563.9303772036892,94,1556.935872251462
NLEX,1479.5259684210776,78,1472.3236973041576,Magnolia,1605.8066590299782,87,1613.008930146898
Magnolia,1613.008930146898,96,1618.8299823539687,NLEX,1472.3236973041576,89,1466.5026450970868
San Miguel,1652.070137200864,103,1645.2734778640747,Magnolia,1618.8299823539687,105,1625.626641690758
Magnolia,1625.626641690758,77,1609.9936791796383,San Miguel,1645.2734778640747,92,1660.9064403751945
San Miguel,1660.9064403751945,111,1680.0188000854157,Magnolia,1609.9936791796383,87,1590.8813194694171
Magnolia,1590.8813194694171,80,1585.3548066661074,San Miguel,1680.0188000854157,84,1685.5453128887254
San Miguel,1685.5453128887254,108,1693.648537622673,Magnolia,1585.3548066661074,99,1577.2515819321598
