name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Ginebra,1521.0096690441214,95,1531.1781947522675,Phoenix,1458.8192972254044,85,1448.6507715172584
Magnolia,1622.416666004658,81,1631.0285868435446,Rain or Shine,1508.2760870296704,70,1499.6641661907838
San Miguel,1581.66322778674,88,1585.2011266943048,NorthPort,1492.9096720874875,87,1489.3717731799227
Meralco,1598.6105265084561,80,1592.1586622982495,NLEX,1526.8428241039649,81,1533.2946883141715
TNT,1646.4207670283656,84,1655.955894570813,Ginebra,1531.1781947522675,71,1521.6430672098202
NorthPort,1489.3717731799227,95,1483.399500283294,San Miguel,1585.2011266943048,100,1591.1733995909335
Rain or Shine,1499.6641661907838,86,1492.1640250594144,Magnolia,1631.0285868435446,96,1638.528727974914
NLEX,1533.2946883141715,86,1522.3555480277385,Meralco,1592.1586622982495,97,1603.0978025846825
Meralco,1603.0978025846825,79,1592.4683225943693,Magnolia,1638.528727974914,88,1649.1582079652273
San Miguel,1591.1733995909335,88,1587.2553627229804,TNT,1655.955894570813,89,1659.873931438766
TNT,1659.873931438766,96,1652.1404921702283,San Miguel,1587.2553627229804,98,1594.9888019915181
Magnolia,1649.1582079652273,92,1662.0504158624367,Meralco,1592.4683225943693,78,1579.57611469716
Meralco,1579.57611469716,91,1591.1888438883161,Magnolia,1662.0504158624367,86,1650.4376866712805
San Miguel,1594.9888019915181,98,1580.3344132211537,TNT,1652.1404921702283,115,1666.7948809405927
TNT,1666.7948809405927,90,1633.859653345866,San Miguel,1580.3344132211537,116,1613.2696408158804
Magnolia,1650.4376866712805,81,1661.9792331397691,Meralco,1591.1888438883161,69,1579.6472974198275
Meralco,1579.6472974198275,102,1590.0789055297662,Magnolia,1661.9792331397691,98,1651.5476250298304
San Miguel,1613.2696408158804,90,1594.3184770030894,TNT,1633.859653345866,110,1652.810817158657
TNT,1652.810817158657,90,1634.0631369769437,San Miguel,1594.3184770030894,103,1613.0661571848027
Magnolia,1651.5476250298304,93,1660.4707564793657,Meralco,1590.0789055297662,85,1581.155774080231
San Miguel,1613.0661571848027,79,1595.4727135870526,TNT,1634.0631369769437,97,1651.6565805746939
Magnolia,1660.4707564793657,70,1640.8111250792226,TNT,1651.6565805746939,88,1671.316211974837
TNT,1671.316211974837,105,1684.2715058712374,Magnolia,1640.8111250792226,93,1627.8558311828222
Magnolia,1627.8558311828222,106,1641.6545571076322,TNT,1684.2715058712374,98,1670.4727799464274
TNT,1670.4727799464274,106,1686.8884611868496,Magnolia,1641.6545571076322,89,1625.23887586721
Magnolia,1625.23887586721,79,1612.0169252423696,TNT,1686.8884611868496,94,1700.11041181169
