name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
San Miguel,1500,96,1511.3491385458706,Star,1500,88,1488.6508614541294
Blackwater,1500,94,1510.5159557413365,Phoenix,1500,87,1489.4840442586635
TNT,1500,87,1483.9228935726385,Rain or Shine,1500,101,1516.0771064273615
Mahindra,1500,75,1478.1122682966352,Globalport,1500,97,1521.8877317033648
Alaska,1500,97,1493.9601694693526,NLEX,1500,99,1506.0398305306474
Meralco,1500,84,1494.191786484775,Blackwater,1510.5159557413365,86,1516.3241692565614
Ginebra,1500,103,1490.6766000918055,TNT,1483.9228935726385,108,1493.246293480833
Rain or Shine,1516.0771064273615,105,1535.00764891802,Mahindra,1478.1122682966352,83,1459.1817258059766
Phoenix,1489.4840442586635,92,1500.859913798984,San Miguel,1511.3491385458706,85,1499.97326900555
TNT,1493.246293480833,99,1504.6706498741862,Blackwater,1516.3241692565614,92,1504.8998128632081
Globalport,1521.8877317033648,91,1531.1543579960373,Star,1488.6508614541294,84,1479.384235161457
NLEX,1506.0398305306474,93,1490.050201690837,Meralco,1494.191786484775,106,1510.1814153245855
San Miguel,1499.97326900555,93,1508.5763729243743,Alaska,1493.9601694693526,88,1485.3570655505284
Mahindra,1459.1817258059766,104,1448.1271001364082,Phoenix,1500.859913798984,114,1511.9145394685524
Rain or Shine,1535.00764891802,74,1522.721414851092,Ginebra,1490.6766000918055,81,1502.9628341587336
Alaska,1485.3570655505284,95,1501.5172419084113,Globalport,1531.1543579960373,84,1514.9941816381545
Star,1479.384235161457,99,1503.5827794447077,NLEX,1490.050201690837,75,1465.8516574075861
Blackwater,1504.8998128632081,93,1489.8610658237185,Rain or Shine,1522.721414851092,107,1537.7601618905817
Meralco,1510.1814153245855,98,1523.667865923645,TNT,1504.6706498741862,87,1491.1841992751267
Phoenix,1511.9145394685524,79,1474.527479701981,Star,1503.5827794447077,123,1540.9698392112791
Mahindra,1448.1271001364082,91,1442.6094076860643,San Miguel,1508.5763729243743,94,1514.0940653747182
Globalport,1514.9941816381545,91,1525.0493440994987,Ginebra,1502.9628341587336,84,1492.9076716973893
NLEX,1465.8516574075861,85,1453.2786073720579,Blackwater,1489.8610658237185,96,1502.4341158592467
Meralco,1523.667865923645,79,1517.1275922475245,Alaska,1501.5172419084113,81,1508.0575155845318
TNT,1491.1841992751267,117,1509.7501917820925,Phoenix,1474.527479701981,98,1455.9614871950153
Ginebra,1492.9076716973893,89,1509.1723640221155,Mahindra,1442.6094076860643,70,1426.344715361338
San Miguel,1514.0940653747182,106,1533.525136291762,NLEX,1453.2786073720579,80,1433.847536455014
Star,1540.9698392112791,99,1552.185336694434,Rain or Shine,1537.7601618905817,91,1526.5446644074268
Alaska,1508.0575155845318,101,1524.9559157109463,Ginebra,1509.1723640221155,86,1492.273963895701
Phoenix,1455.9614871950153,94,1465.7221191549938,Meralco,1517.1275922475245,90,1507.366960287546
Blackwater,1502.4341158592467,99,1514.7436558139736,Globalport,1525.0493440994987,91,1512.7398041447718
TNT,1509.7501917820925,109,1522.606033294169,Alaska,1524.9559157109463,100,1512.1000741988698
Rain or Shine,1526.5446644074268,107,1535.473328607896,NLEX,1433.847536455014,97,1424.9188722545448
Mahindra,1426.344715361338,97,1435.7379096719403,Blackwater,1514.7436558139736,94,1505.3504615033714
Ginebra,1492.273963895701,86,1505.2053035393856,Star,1552.185336694434,79,1539.2539970507494
Globalport,1512.7398041447718,99,1505.6197555220983,Phoenix,1465.7221191549938,101,1472.8421677776673
Meralco,1507.366960287546,86,1492.121350258479,San Miguel,1533.525136291762,101,1548.770746320829
Globalport,1505.6197555220983,97,1516.4116457061646,Meralco,1492.121350258479,89,1481.3294600744127
San Miguel,1548.770746320829,118,1569.0516574330993,Blackwater,1505.3504615033714,93,1485.069550391101
NLEX,1424.9188722545448,110,1445.020229713381,TNT,1522.606033294169,98,1502.5046758353328
