name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Bay Area,1500,133,1524.43745040143,Blackwater,1394.9316724687064,87,1370.4942220672765
NorthPort,1524.6294149379978,92,1529.6416371944194,Phoenix,1441.4192611786066,89,1436.407038922185
Converge,1517.7106782053268,124,1525.1890943756111,Terrafirma,1340.9170908266165,110,1333.438674656332
NLEX,1394.7626612940658,96,1408.5906877072644,Rain or Shine,1504.301898879892,90,1490.4738724666934
Bay Area,1524.43745040143,105,1529.5869514581686,NorthPort,1529.6416371944194,104,1524.4921361376807
Blackwater,1370.4942220672765,97,1378.0655707128985,Phoenix,1436.407038922185,95,1428.835690276563
Magnolia,1538.2135651974854,100,1542.8021312533745,Terrafirma,1333.438674656332,92,1328.850108600443
Rain or Shine,1490.4738724666934,93,1521.6028441334042,Ginebra,1597.9740499033796,71,1566.8450782366688
NLEX,1408.5906877072644,105,1414.8145681039466,Blackwater,1378.0655707128985,102,1371.8416903162163
NorthPort,1524.4921361376807,101,1533.2095980195504,Meralco,1497.1888896755013,95,1488.4714277936316
Bay Area,1529.5869514581686,101,1538.2046056515892,Phoenix,1428.835690276563,91,1420.2180360831424
Magnolia,1542.8021312533745,109,1557.852844935339,Converge,1525.1890943756111,95,1510.1383806936467
Rain or Shine,1521.6028441334042,106,1527.852189788197,Terrafirma,1328.850108600443,94,1322.6007629456503
Ginebra,1566.8450782366688,99,1575.1556034335574,Meralco,1488.4714277936316,91,1480.160902596743
Blackwater,1371.8416903162163,109,1386.1844392099201,San Miguel,1629.2741498752787,106,1614.9314009815748
Magnolia,1557.852844935339,94,1565.3018279617254,TNT,1618.6766675571448,92,1611.2276845307583
Meralco,1480.160902596743,105,1487.984948183112,Terrafirma,1322.6007629456503,92,1314.7767173592813
Bay Area,1538.2046056515892,106,1546.8962341807544,Converge,1510.1383806936467,100,1501.4467521644815
Phoenix,1420.2180360831424,111,1435.9770021246409,NLEX,1414.8145681039466,97,1399.055602062448
TNT,1611.2276845307583,117,1628.2988993482368,NorthPort,1533.2095980195504,93,1516.138383202072
San Miguel,1614.9314009815748,113,1622.9364977493997,Rain or Shine,1527.852189788197,105,1519.847093020372
Ginebra,1575.1556034335574,111,1592.2619001444411,Bay Area,1546.8962341807544,93,1529.7899374698707
NorthPort,1516.138383202072,87,1520.7391838173216,Blackwater,1386.1844392099201,83,1381.5836385946704
Magnolia,1565.3018279617254,111,1573.1766855866292,NLEX,1399.055602062448,97,1391.1807444375443
Blackwater,1381.5836385946704,93,1389.669908642099,Terrafirma,1314.7767173592813,86,1306.6904473118527
Phoenix,1435.9770021246409,101,1454.4183764416252,Ginebra,1592.2619001444411,93,1573.8205258274568
Converge,1501.4467521644815,106,1511.4477532867218,Meralco,1487.984948183112,99,1477.9839470608717
TNT,1628.2988993482368,110,1640.9831441021188,Rain or Shine,1519.847093020372,91,1507.16284826649
Bay Area,1529.7899374698707,113,1563.3952366390008,San Miguel,1622.9364977493997,87,1589.3311985802695
Magnolia,1573.1766855866292,109,1588.7113790858264,NorthPort,1520.7391838173216,91,1505.2044903181245
Phoenix,1454.4183764416252,89,1465.8622530364214,Meralco,1477.9839470608717,82,1466.5400704660756
NLEX,1391.1807444375443,110,1415.758107563125,TNT,1640.9831441021188,101,1616.4057809765382
Bay Area,1563.3952366390008,130,1576.440228944075,Terrafirma,1306.6904473118527,76,1293.6454550067785
Converge,1511.4477532867218,106,1521.7373674932126,San Miguel,1589.3311985802695,102,1579.0415843737787
TNT,1616.4057809765382,108,1621.0897568164746,Blackwater,1389.669908642099,98,1384.9859328021626
Rain or Shine,1507.16284826649,113,1522.8319155877136,Meralco,1466.5400704660756,96,1450.871003144852
San Miguel,1579.0415843737787,124,1584.6811559807809,NLEX,1415.758107563125,116,1410.1185359561227
Ginebra,1573.8205258274568,103,1584.021983652708,Magnolia,1588.7113790858264,97,1578.509921260575
Phoenix,1465.8622530364214,92,1480.6823804665382,Rain or Shine,1522.8319155877136,83,1508.0117881575968
San Miguel,1584.6811559807809,104,1598.5564627395968,NorthPort,1505.2044903181245,86,1491.3291835593086
Converge,1521.7373674932126,130,1543.008129293997,TNT,1621.0897568164746,117,1599.8189950156902
Terrafirma,1293.6454550067785,90,1288.20558165103,Ginebra,1584.021983652708,111,1589.4618570084567
Blackwater,1384.9859328021626,71,1380.0591475461563,Converge,1543.008129293997,77,1547.9349145500032
