name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Alaska,1495.9726550009314,108,1504.1829233483872,Meralco,1477.5675797023869,103,1469.357311354931
Blackwater,1414.085517919327,80,1409.721795294072,Rain or Shine,1528.6643860741005,83,1533.0281086993555
Ginebra,1611.035085760363,85,1618.326338958838,Magnolia,1539.6572328303507,79,1532.3659796318757
TNT,1644.9327290967606,72,1596.2006103325486,Alaska,1504.1829233483872,108,1552.9150421125992
NorthPort,1572.3393400961231,84,1555.0780226653073,San Miguel,1552.6133487993563,98,1569.8746662301721
Magnolia,1532.3659796318757,80,1514.8967313771814,Ginebra,1618.326338958838,106,1635.7955872135324
Rain or Shine,1533.0281086993555,96,1521.2691563739997,Blackwater,1409.721795294072,100,1421.4807476194278
San Miguel,1569.8746662301721,90,1575.5897753256709,NorthPort,1555.0780226653073,88,1549.3629135698086
Alaska,1552.9150421125992,93,1541.2604252418832,TNT,1596.2006103325486,104,1607.8552272032646
Blackwater,1421.4807476194278,83,1417.4511502604269,Rain or Shine,1521.2691563739997,85,1525.2987537330007
Ginebra,1635.7955872135324,92,1628.0739393717556,TNT,1607.8552272032646,95,1615.5768750450413
Rain or Shine,1525.2987537330007,105,1517.3423925750428,San Miguel,1575.5897753256709,111,1583.5461364836287
TNT,1615.5768750450413,88,1634.7360572224925,Ginebra,1628.0739393717556,71,1608.9147571943045
San Miguel,1583.5461364836287,117,1594.7590064247127,Rain or Shine,1517.3423925750428,105,1506.129522633959
Ginebra,1608.9147571943045,80,1621.3629534125196,TNT,1634.7360572224925,72,1622.2878610042774
Rain or Shine,1506.129522633959,112,1521.3949499910157,San Miguel,1594.7590064247127,104,1579.493579067656
TNT,1622.2878610042774,103,1636.005276005751,Ginebra,1621.3629534125196,92,1607.645538411046
San Miguel,1579.493579067656,98,1585.0650772821127,Rain or Shine,1521.3949499910157,95,1515.8234517765588
TNT,1636.005276005751,102,1643.9406766578036,San Miguel,1585.0650772821127,96,1577.1296766300602
San Miguel,1577.1296766300602,127,1584.7226810828956,TNT,1643.9406766578036,125,1636.3476722049681
TNT,1636.3476722049681,115,1646.9675510066756,San Miguel,1584.7226810828956,105,1574.1028022811881
San Miguel,1574.1028022811881,106,1585.3748729972506,TNT,1646.9675510066756,101,1635.6954802906132
TNT,1635.6954802906132,94,1625.2114792835316,San Miguel,1585.3748729972506,99,1595.8588740043322
San Miguel,1595.8588740043322,102,1612.0093101392335,TNT,1625.2114792835316,90,1609.0610431486302
