name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
Blackwater,1348.9070046834104,94,1360.5120706184143,Meralco,1513.711344619486,91,1502.106278684482
Alaska,1546.5085743589566,111,1553.678471275353,Columbian,1371.0083050287021,98,1363.8384081123056
NorthPort,1461.4378190250059,103,1491.1999606512888,Alaska,1553.678471275353,81,1523.9163296490701
NLEX,1384.5163286566244,87,1376.1032067118936,TNT,1546.560248561211,102,1554.9733705059418
Columbian,1363.8384081123056,92,1357.0263932109472,Meralco,1502.106278684482,101,1508.9182935858405
Ginebra,1630.4844731582034,107,1619.8450726746248,Blackwater,1360.5120706184143,108,1371.151471101993
NorthPort,1491.1999606512888,83,1496.1248436191083,NLEX,1376.1032067118936,79,1371.178323744074
TNT,1554.9733705059418,99,1569.26215648451,Alaska,1523.9163296490701,85,1509.627543670502
Blackwater,1371.151471101993,118,1381.9178015079037,Columbian,1357.0263932109472,110,1346.2600628050363
Meralco,1508.9182935858405,95,1498.2347648325253,Ginebra,1619.8450726746248,110,1630.52860142794
TNT,1569.26215648451,86,1539.4087804162568,NorthPort,1496.1248436191083,110,1525.9782196873614
Alaska,1509.627543670502,100,1518.1951080851763,NLEX,1371.178323744074,87,1362.6107593293998
Phoenix,1458.5500307273558,103,1465.0395193540446,Blackwater,1381.9178015079037,98,1375.4283128812149
Rain or Shine,1537.9450225006565,84,1525.8480497655462,Meralco,1498.2347648325253,91,1510.3317375676356
NLEX,1362.6107593293998,105,1344.7564657787905,Columbian,1346.2600628050363,120,1364.1143563556457
NorthPort,1525.9782196873614,70,1521.413405702892,Ginebra,1630.52860142794,73,1635.0934154124093
Blackwater,1375.4283128812149,98,1390.897230297046,Rain or Shine,1525.8480497655462,92,1510.379132349715
Phoenix,1465.0395193540446,88,1446.681228312144,TNT,1539.4087804162568,114,1557.7670714581575
Magnolia,1573.8516874949044,80,1546.4592764457232,Alaska,1518.1951080851763,103,1545.5875191343575
