name1,starting elo1,score1,ending elo1,name2,starting elo2,score2,ending elo2
TNT,1571.425293022639,110,1560.6068780166217,San Miguel,1632.9728579780433,121,1643.7912729840605
Ginebra,1597.5965319262164,88,1606.5761927174476,Meralco,1556.4202203453124,81,1547.4405595540811
Rain or Shine,1533.5459989518322,113,1526.902072375424,Globalport,1452.3364489587048,114,1458.980375535113
Magnolia,1582.1562494502814,78,1566.2163529157547,Alaska,1540.4598924521677,89,1556.3997889866944
Meralco,1547.4405595540811,90,1534.677550429914,Ginebra,1606.5761927174476,104,1619.3392018416148
San Miguel,1643.7912729840605,109,1651.3345051741974,TNT,1560.6068780166217,102,1553.0636458264848
Globalport,1458.980375535113,97,1451.582373823016,Rain or Shine,1526.902072375424,103,1534.300074087521
Alaska,1556.3997889866944,79,1551.6366279549768,San Miguel,1651.3345051741974,82,1656.097666205915
Ginebra,1619.3392018416148,102,1630.238052864931,Rain or Shine,1534.300074087521,89,1523.4012230642047
San Miguel,1656.097666205915,105,1665.0921750475172,Alaska,1551.6366279549768,94,1542.6421191133745
Rain or Shine,1523.4012230642047,109,1540.6725000421065,Ginebra,1630.238052864931,100,1612.9667758870291
Alaska,1542.6421191133745,125,1574.077769718258,San Miguel,1665.0921750475172,104,1633.6565244426338
Ginebra,1612.9667758870291,75,1618.2178605173517,Rain or Shine,1540.6725000421065,72,1535.421415411784
San Miguel,1633.6565244426338,104,1640.6271432343763,Alaska,1574.077769718258,99,1567.1071509265155
Rain or Shine,1535.421415411784,94,1531.0817275473228,Ginebra,1618.2178605173517,96,1622.557548381813
Ginebra,1622.557548381813,127,1650.3074753302672,San Miguel,1640.6271432343763,99,1612.877216285922
San Miguel,1612.877216285922,134,1640.2331063806894,Ginebra,1650.3074753302672,109,1622.9515852354998
Ginebra,1622.9515852354998,94,1592.4744723201027,San Miguel,1640.2331063806894,132,1670.7102192960865
San Miguel,1670.7102192960865,100,1635.097475559659,Ginebra,1592.4744723201027,130,1628.0872160565302
Ginebra,1628.0872160565302,87,1636.1976497216478,San Miguel,1635.097475559659,83,1626.987041894541
San Miguel,1626.987041894541,77,1610.004706330613,Ginebra,1636.1976497216478,93,1653.1799852855759
